PassengerId,Survived,Name,Sex,Age,SibSp,Parch,Fare,Embarked
101,0,"Petranec, Miss. Matilda",female,28.0,0,0,7.895,S
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",male,0.0,0,0,7.895,S
103,0,"White, Mr. Richard Frasar",male,21.0,0,1,77.3,S
104,0,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,8.66,S
105,0,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,7.926,S
106,0,"Mionoff, Mr. Stoytcho",male,28.0,0,0,7.895,S
107,1,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,7.65,S
108,1,"Moss, Mr. Albert Johan",male,0.0,0,0,7.773,S
109,0,"Rekic, Mr. Tido",male,38.0,0,0,7.895,S
110,1,"Moran, Miss. Bertha",female,0.0,1,0,24.16,Q
111,0,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,52.0,S
112,0,"Zabour, Miss. Hileni",female,14.5,1,0,14.45,C
113,0,"Barton, Mr. David John",male,22.0,0,0,8.05,S
114,0,"Jussila, Miss. Katriina",female,20.0,1,0,9.83,S
115,0,"Attalah, Miss. Malake",female,17.0,0,0,14.46,C
116,0,"Pekoniemi, Mr. Edvard",male,21.0,0,0,7.926,S
117,0,"Connors, Mr. Patrick",male,70.5,0,0,7.75,Q
118,0,"Turpin, Mr. William John Robert",male,29.0,1,0,21.0,S
119,0,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,247.5,C
120,0,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,31.28,S
121,0,"Hickman, Mr. Stanley George",male,21.0,2,0,73.5,S
122,0,"Moore, Mr. Leonard Charles",male,0.0,0,0,8.05,S
123,0,"Nasser, Mr. Nicholas",male,32.5,1,0,30.08,C
124,1,"Webber, Miss. Susan",female,32.5,0,0,13.0,S
125,0,"White, Mr. Percival Wayland",male,54.0,0,1,77.3,S
126,1,"Nicola-Yarred, Master. Elias",male,12.0,1,0,11.24,C
127,0,"McMahon, Mr. Martin",male,0.0,0,0,7.75,Q
128,1,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,7.14,S
129,1,"Peter, Miss. Anna",female,0.0,1,1,22.36,C
130,0,"Ekstrom, Mr. Johan",male,45.0,0,0,6.977,S
131,0,"Drazenoic, Mr. Jozef",male,33.0,0,0,7.895,C
132,0,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,7.05,S
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,14.5,S
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,26.0,S
135,0,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,13.0,S
136,0,"Richard, Mr. Emile",male,23.0,0,0,15.05,C
137,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,26.28,S
138,0,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,53.1,S
139,0,"Osen, Mr. Olaf Elon",male,16.0,0,0,9.22,S
140,0,"Giglio, Mr. Victor",male,24.0,0,0,79.2,C
141,0,"Boulos, Mrs. Joseph (Sultana)",female,0.0,0,2,15.24,C
142,1,"Nysten, Miss. Anna Sofia",female,22.0,0,0,7.75,S
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,15.85,S
144,0,"Burke, Mr. Jeremiah",male,19.0,0,0,6.75,Q
145,0,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,11.5,S
146,0,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,36.75,S
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,7.797,S
148,0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,34.38,S
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,26.0,S
150,0,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,13.0,S
151,0,"Bateman, Rev. Robert James",male,51.0,0,0,12.52,S
152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,66.6,S
153,0,"Meo, Mr. Alfonzo",male,55.5,0,0,8.05,S
154,0,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,14.5,S
155,0,"Olsen, Mr. Ole Martin",male,0.0,0,0,7.312,S
156,0,"Williams, Mr. Charles Duane",male,51.0,0,1,61.38,C
157,1,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,7.734,Q
158,0,"Corn, Mr. Harry",male,30.0,0,0,8.05,S
159,0,"Smiljanic, Mr. Mile",male,0.0,0,0,8.664,S
160,0,"Sage, Master. Thomas Henry",male,0.0,8,2,69.56,S
161,0,"Cribb, Mr. John Hatfield",male,44.0,0,1,16.1,S
162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,15.75,S
163,0,"Bengtsson, Mr. John Viktor",male,26.0,0,0,7.773,S
164,0,"Calic, Mr. Jovo",male,17.0,0,0,8.664,S
165,0,"Panula, Master. Eino Viljami",male,1.0,4,1,39.7,S
166,1,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,20.53,S
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,0.0,0,1,55.0,S
168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,27.9,S
169,0,"Baumann, Mr. John D",male,0.0,0,0,25.92,S
170,0,"Ling, Mr. Lee",male,28.0,0,0,56.5,S
171,0,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,33.5,S
172,0,"Rice, Master. Arthur",male,4.0,4,1,29.12,Q
173,1,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,11.13,S
174,0,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,7.926,S
175,0,"Smith, Mr. James Clinch",male,56.0,0,0,30.7,C
176,0,"Klasen, Mr. Klas Albin",male,18.0,1,1,7.855,S
177,0,"Lefebre, Master. Henry Forbes",male,0.0,3,1,25.47,S
178,0,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,28.72,C
179,0,"Hale, Mr. Reginald",male,30.0,0,0,13.0,S
180,0,"Leonard, Mr. Lionel",male,36.0,0,0,0.0,S
181,0,"Sage, Miss. Constance Gladys",female,0.0,8,2,69.56,S
182,0,"Pernot, Mr. Rene",male,0.0,0,0,15.05,C
183,0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,31.39,S
184,1,"Becker, Master. Richard F",male,1.0,2,1,39.0,S
185,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,22.03,S
186,0,"Rood, Mr. Hugh Roscoe",male,0.0,0,0,50.0,S
187,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,0.0,1,0,15.5,Q
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,26.55,S
189,0,"Bourke, Mr. John",male,40.0,1,1,15.5,Q
190,0,"Turcin, Mr. Stjepan",male,36.0,0,0,7.895,S
191,1,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,13.0,S
192,0,"Carbines, Mr. William",male,19.0,0,0,13.0,S
193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,7.855,S
194,1,"Navratil, Master. Michel M",male,3.0,1,1,26.0,S
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,27.72,C
196,1,"Lurette, Miss. Elise",female,58.0,0,0,146.5,C
197,0,"Mernagh, Mr. Robert",male,0.0,0,0,7.75,Q
198,0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,8.41,S
199,1,"Madigan, Miss. Margaret ""Maggie""",female,0.0,0,0,7.75,Q
200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,13.0,S
201,0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,9.5,S
202,0,"Sage, Mr. Frederick",male,0.0,8,2,69.56,S
203,0,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,6.496,S
204,0,"Youseff, Mr. Gerious",male,45.5,0,0,7.227,C
205,1,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,8.05,S
206,0,"Strom, Miss. Telma Matilda",female,2.0,0,1,10.46,S
207,0,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,15.85,S
208,1,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,18.78,C
209,1,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,7.75,Q
210,1,"Blank, Mr. Henry",male,40.0,0,0,31.0,C
211,0,"Ali, Mr. Ahmed",male,24.0,0,0,7.05,S
212,1,"Cameron, Miss. Clear Annie",female,35.0,0,0,21.0,S
213,0,"Perkin, Mr. John Henry",male,22.0,0,0,7.25,S
214,0,"Givard, Mr. Hans Kristensen",male,30.0,0,0,13.0,S
215,0,"Kiernan, Mr. Philip",male,0.0,1,0,7.75,Q
216,1,"Newell, Miss. Madeleine",female,31.0,1,0,113.25,C
217,1,"Honkanen, Miss. Eliina",female,27.0,0,0,7.926,S
218,0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,27.0,S
219,1,"Bazzani, Miss. Albina",female,32.0,0,0,76.3,C
220,0,"Harris, Mr. Walter",male,30.0,0,0,10.5,S
221,1,"Sunderland, Mr. Victor Francis",male,16.0,0,0,8.05,S
222,0,"Bracken, Mr. James H",male,27.0,0,0,13.0,S
223,0,"Green, Mr. George Henry",male,51.0,0,0,8.05,S
224,0,"Nenkoff, Mr. Christo",male,0.0,0,0,7.895,S
225,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,90.0,S
226,0,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,9.35,S
227,1,"Mellors, Mr. William John",male,19.0,0,0,10.5,S
228,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,7.25,S
229,0,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,13.0,S
230,0,"Lefebre, Miss. Mathilde",female,0.0,3,1,25.47,S
231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,83.5,S
232,0,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,7.773,S
233,0,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,13.5,S
234,1,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,31.39,S
235,0,"Leyson, Mr. Robert William Norman",male,24.0,0,0,10.5,S
236,0,"Harknett, Miss. Alice Phoebe",female,0.0,0,0,7.55,S
237,0,"Hold, Mr. Stephen",male,44.0,1,0,26.0,S
238,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,26.25,S
239,0,"Pengelly, Mr. Frederick William",male,19.0,0,0,10.5,S
240,0,"Hunt, Mr. George Henry",male,33.0,0,0,12.27,S
241,0,"Zabour, Miss. Thamine",female,0.0,1,0,14.45,C
242,1,"Murphy, Miss. Katherine ""Kate""",female,0.0,1,0,15.5,Q
243,0,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,10.5,S
244,0,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,7.125,S
245,0,"Attalah, Mr. Sleiman",male,30.0,0,0,7.227,C
246,0,"Minahan, Dr. William Edward",male,44.0,2,0,90.0,Q
247,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,7.773,S
248,1,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,14.5,S
249,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,52.56,S
250,0,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,26.0,S
251,0,"Reed, Mr. James George",male,0.0,0,0,7.25,S
252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,10.46,S
253,0,"Stead, Mr. William Thomas",male,62.0,0,0,26.55,S
254,0,"Lobb, Mr. William Arthur",male,30.0,1,0,16.1,S
255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,20.22,S
256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,15.24,C
257,1,"Thorne, Mrs. Gertrude Maybelle",female,0.0,0,0,79.2,C
258,1,"Cherry, Miss. Gladys",female,30.0,0,0,86.5,S
259,1,"Ward, Miss. Anna",female,35.0,0,0,512.5,C
260,1,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,26.0,S
261,0,"Smith, Mr. Thomas",male,0.0,0,0,7.75,Q
262,1,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,31.39,S
263,0,"Taussig, Mr. Emil",male,52.0,1,1,79.6,S
264,0,"Harrison, Mr. William",male,40.0,0,0,0.0,S
265,0,"Henry, Miss. Delia",female,0.0,0,0,7.75,Q
266,0,"Reeves, Mr. David",male,36.0,0,0,10.5,S
267,0,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,39.7,S
268,1,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,7.773,S
269,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,153.5,S
270,1,"Bissette, Miss. Amelia",female,35.0,0,0,135.6,S
271,0,"Cairns, Mr. Alexander",male,0.0,0,0,31.0,S
272,1,"Tornquist, Mr. William Henry",male,25.0,0,0,0.0,S
273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,19.5,S
274,0,"Natsch, Mr. Charles H",male,37.0,0,1,29.7,C
275,1,"Healy, Miss. Hanora ""Nora""",female,0.0,0,0,7.75,Q
276,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,77.94,S
277,0,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,7.75,S
278,0,"Parkes, Mr. Francis ""Frank""",male,0.0,0,0,0.0,S
279,0,"Rice, Master. Eric",male,7.0,4,1,29.12,Q
280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,20.25,S
281,0,"Duane, Mr. Frank",male,65.0,0,0,7.75,Q
282,0,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,7.855,S
283,0,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,9.5,S
284,1,"Dorking, Mr. Edward Arthur",male,19.0,0,0,8.05,S
285,0,"Smith, Mr. Richard William",male,0.0,0,0,26.0,S
286,0,"Stankovic, Mr. Ivan",male,33.0,0,0,8.664,C
287,1,"de Mulder, Mr. Theodore",male,30.0,0,0,9.5,S
288,0,"Naidenoff, Mr. Penko",male,22.0,0,0,7.895,S
289,1,"Hosono, Mr. Masabumi",male,42.0,0,0,13.0,S
290,1,"Connolly, Miss. Kate",female,22.0,0,0,7.75,Q
291,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,78.9,S
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,91.06,C
293,0,"Levy, Mr. Rene Jacques",male,36.0,0,0,12.875,C
294,0,"Haas, Miss. Aloisia",female,24.0,0,0,8.85,S
295,0,"Mineff, Mr. Ivan",male,24.0,0,0,7.895,S
296,0,"Lewy, Mr. Ervin G",male,0.0,0,0,27.72,C
297,0,"Hanna, Mr. Mansour",male,23.5,0,0,7.23,C
298,0,"Allison, Miss. Helen Loraine",female,2.0,1,2,151.5,S
299,1,"Saalfeld, Mr. Adolphe",male,0.0,0,0,30.5,S
300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,247.5,C
301,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,0.0,0,0,7.75,Q
302,1,"McCoy, Mr. Bernard",male,0.0,2,0,23.25,Q
303,0,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,0.0,S
304,1,"Keane, Miss. Nora A",female,0.0,0,0,12.35,Q
305,0,"Williams, Mr. Howard Hugh ""Harry""",male,0.0,0,0,8.05,S
306,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,151.5,S
307,1,"Fleming, Miss. Margaret",female,0.0,0,0,110.9,C
308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,108.9,C
309,0,"Abelson, Mr. Samuel",male,30.0,1,0,24.0,C
310,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,56.94,C
311,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,83.2,C
312,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,262.5,C
313,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,26.0,S
314,0,"Hendekovic, Mr. Ignjac",male,28.0,0,0,7.895,S
315,0,"Hart, Mr. Benjamin",male,43.0,1,1,26.25,S
316,1,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,7.855,S
317,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,26.0,S
318,0,"Moraweck, Dr. Ernest",male,54.0,0,0,14.0,S
319,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,164.9,S
320,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,134.5,C
321,0,"Dennis, Mr. Samuel",male,22.0,0,0,7.25,S
322,0,"Danoff, Mr. Yoto",male,27.0,0,0,7.895,S
323,1,"Slayter, Miss. Hilda Mary",female,30.0,0,0,12.35,Q
324,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,29.0,S
325,0,"Sage, Mr. George John Jr",male,0.0,8,2,69.56,S
326,1,"Young, Miss. Marie Grice",female,36.0,0,0,135.6,C
327,0,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,6.24,S
328,1,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,13.0,S
329,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,1,1,20.53,S
330,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,57.97,C
331,1,"McCoy, Miss. Agnes",female,0.0,2,0,23.25,Q
332,0,"Partner, Mr. Austen",male,45.5,0,0,28.5,S
333,0,"Graham, Mr. George Edward",male,38.0,0,1,153.5,S
334,0,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,18.0,S
335,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,0.0,1,0,133.6,S
336,0,"Denkoff, Mr. Mitto",male,0.0,0,0,7.895,S
337,0,"Pears, Mr. Thomas Clinton",male,29.0,1,0,66.6,S
338,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,134.5,C
339,1,"Dahl, Mr. Karl Edwart",male,45.0,0,0,8.05,S
340,0,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,35.5,S
341,1,"Navratil, Master. Edmond Roger",male,2.0,1,1,26.0,S
342,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,263.0,S
343,0,"Collander, Mr. Erik Gustaf",male,28.0,0,0,13.0,S
344,0,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,13.0,S
345,0,"Fox, Mr. Stanley Hubert",male,36.0,0,0,13.0,S
346,1,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,13.0,S
347,1,"Smith, Miss. Marion Elsie",female,40.0,0,0,13.0,S
348,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,0.0,1,0,16.1,S
349,1,"Coutts, Master. William Loch ""William""",male,3.0,1,1,15.9,S
350,0,"Dimic, Mr. Jovan",male,42.0,0,0,8.664,S
351,0,"Odahl, Mr. Nils Martin",male,23.0,0,0,9.23,S
352,0,"Williams-Lambert, Mr. Fletcher Fellows",male,0.0,0,0,35.0,S
353,0,"Elias, Mr. Tannous",male,15.0,1,1,7.23,C
354,0,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,17.8,S
355,0,"Yousif, Mr. Wazli",male,0.0,0,0,7.227,C
356,0,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,9.5,S
357,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,55.0,S
358,0,"Funk, Miss. Annie Clemmer",female,38.0,0,0,13.0,S
